User_Input,Intent,Response
How many calories does Mango have per serving?,specific_info,Mango contains 60 calories per 100g.
Is Mango considered a fruit or a vegetable?,specific_info,Mango is classified as a fruit.
What are the health benefits of eating Coffee?,specific_info,Coffee is rich in nutrients and offers various health benefits.
How do I grow Coffee at home?,specific_info,"To grow Coffee, use Loamy/Volcanic soils soil, maintain a pH of 6.0-6.5, and ensure Partial Sun sunlight exposure."
What dishes can I cook with Coffee?,specific_info,"Coffee can be used to make soups, stews, and salads."
How do I know when Coffee is ready to harvest?,specific_info,Coffee is usually ready to harvest in 1095-1460 days.
How many calories does Coffee have per serving?,specific_info,Coffee contains 2 calories per 100g.
Is Coffee considered a fruit or a vegetable?,specific_info,Coffee is classified as a fruit.
What are the health benefits of eating Cassava?,specific_info,Cassava is rich in nutrients and offers various health benefits.
How do I grow Cassava at home?,specific_info,"To grow Cassava, use Sandy Loam/ Clayey soils soil, maintain a pH of 5.5-7.0, and ensure Full Sun sunlight exposure."
What dishes can I cook with Cassava?,specific_info,"Cassava can be used to make soups, stews, and salads."
How do I know when Cassava is ready to harvest?,specific_info,Cassava is usually ready to harvest in 240-720 days.
How many calories does Cassava have per serving?,specific_info,Cassava contains 160 calories per 100g.
Is Cassava considered a fruit or a vegetable?,specific_info,Cassava is classified as a vegetable.
Can you tell me how to plant Bitter Melon or Bitter Gourd?,how_to_plant_info,"To plant Bitter Melon or Bitter Gourd, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant Tomato?,how_to_plant_info,"To plant Tomato, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant Squash?,how_to_plant_info,"To plant Squash, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant Bottle Gourd?,how_to_plant_info,"To plant Bottle Gourd, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant Chili Pepper?,how_to_plant_info,"To plant Chili Pepper, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant String Bean or Yardlong Bean?,how_to_plant_info,"To plant String Bean or Yardlong Bean, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant Eggplant?,how_to_plant_info,"To plant Eggplant, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant Ridge Gourd or Sponge Gourd?,how_to_plant_info,"To plant Ridge Gourd or Sponge Gourd, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant Okra or Lady Finger?,how_to_plant_info,"To plant Okra or Lady Finger, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant Chinese Cabbage or Bok Choy?,how_to_plant_info,"To plant Chinese Cabbage or Bok Choy, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant Mustard Greens?,how_to_plant_info,"To plant Mustard Greens, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant Cucumber?,how_to_plant_info,"To plant Cucumber, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant Orange or Native Mandarin?,how_to_plant_info,"To plant Orange or Native Mandarin, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant Langsat or Lanzones?,how_to_plant_info,"To plant Langsat or Lanzones, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant Calamondin or Philippine Lime?,how_to_plant_info,"To plant Calamondin or Philippine Lime, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant Rambutan?,how_to_plant_info,"To plant Rambutan, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant Banana?,how_to_plant_info,"To plant Banana, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant Mango?,how_to_plant_info,"To plant Mango, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant Coffee?,how_to_plant_info,"To plant Coffee, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant Cassava?,how_to_plant_info,"To plant Cassava, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant eating Bitter Melon or Bitter Gourd?,how_to_plant_info,"To plant eating Bitter Melon or Bitter Gourd, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant eating Tomato?,how_to_plant_info,"To plant eating Tomato, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant eating Squash?,how_to_plant_info,"To plant eating Squash, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant eating Bottle Gourd?,how_to_plant_info,"To plant eating Bottle Gourd, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant eating Chili Pepper?,how_to_plant_info,"To plant eating Chili Pepper, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant eating String Bean or Yardlong Bean?,how_to_plant_info,"To plant eating String Bean or Yardlong Bean, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant eating Eggplant?,how_to_plant_info,"To plant eating Eggplant, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant eating Ridge Gourd or Sponge Gourd?,how_to_plant_info,"To plant eating Ridge Gourd or Sponge Gourd, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant eating Okra or Lady Finger?,how_to_plant_info,"To plant eating Okra or Lady Finger, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant eating Chinese Cabbage or Bok Choy?,how_to_plant_info,"To plant eating Chinese Cabbage or Bok Choy, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant eating Mustard Greens?,how_to_plant_info,"To plant eating Mustard Greens, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant eating Cucumber?,how_to_plant_info,"To plant eating Cucumber, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant eating Orange or Native Mandarin?,how_to_plant_info,"To plant eating Orange or Native Mandarin, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant eating Langsat or Lanzones?,how_to_plant_info,"To plant eating Langsat or Lanzones, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant eating Calamondin or Philippine Lime?,how_to_plant_info,"To plant eating Calamondin or Philippine Lime, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant eating Rambutan?,how_to_plant_info,"To plant eating Rambutan, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant eating Banana?,how_to_plant_info,"To plant eating Banana, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant eating Mango?,how_to_plant_info,"To plant eating Mango, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant eating Coffee?,how_to_plant_info,"To plant eating Coffee, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Can you tell me how to plant eating Cassava?,how_to_plant_info,"To plant eating Cassava, prepare the soil by loosening it, add compost, and sow the seeds or seedlings at the recommended depth and spacing. Water regularly and ensure proper sunlight."
Hi,greeting_info,"Hello, Im AgriBuddy, How can I help u?"
Hello,greeting_info,"Hello, Im AgriBuddy, How can I help u?"
Can u help me how to plant?,greeting_info,"Sure, What fruits or vegetables do u prefer to plant?"
